date,machine_id,plan_min,run_min,downtime_min,downtime_reason,prod_qty,good_qty,energy_kWh,date_str,availability,downtime_rate,defect_qty,yield_rate,defect_rate,productivity_hourly,good_productivity_hourly,energy_per_good,month,machine_group,anomaly_low_availability,anomaly_high_defect,anomaly_high_energy,anomaly_high_downtime,has_anomaly,grade
2026-01-01,A-01,480,420,60,금형교체,751,716,228.0,2026-01-01,87.5,12.5,35,95.34,4.66,107.29,102.29,0.3184,2026-01,A,False,False,False,False,False,C
2026-01-01,D-03,480,382,98,예방보전,712,680,240.7,2026-01-01,79.58,20.42,32,95.51,4.49,111.83,106.81,0.354,2026-01,D,True,False,False,True,True,D
2026-01-01,D-02,480,442,38,품질조정,825,810,312.4,2026-01-01,92.08,7.92,15,98.18,1.82,111.99,109.95,0.3857,2026-01,D,False,False,False,False,False,D
2026-01-01,D-01,480,452,28,자재대기,769,752,277.3,2026-01-01,94.17,5.83,17,97.79,2.21,102.08,99.82,0.3688,2026-01,D,False,False,False,False,False,D
2026-01-01,C-02,480,402,78,품질조정,775,712,251.4,2026-01-01,83.75,16.25,63,91.87,8.13,115.67,106.27,0.3531,2026-01,C,False,True,False,False,True,D
2026-01-01,C-01,480,357,123,금형교체,704,660,234.6,2026-01-01,74.38,25.62,44,93.75,6.25,118.32,110.92,0.3555,2026-01,C,True,False,False,True,True,D
2026-01-01,C-03,480,415,65,예방보전,731,689,273.0,2026-01-01,86.46,13.54,42,94.25,5.75,105.69,99.61,0.3962,2026-01,C,False,False,False,False,False,D
2026-01-01,B-02,480,465,15,예방보전,888,872,298.0,2026-01-01,96.88,3.12,16,98.2,1.8,114.58,112.52,0.3417,2026-01,B,False,False,False,False,False,B
2026-01-01,B-01,480,457,23,설비고장,758,715,273.1,2026-01-01,95.21,4.79,43,94.33,5.67,99.52,93.87,0.382,2026-01,B,False,False,False,False,False,D
2026-01-01,A-03,480,434,46,예방보전,819,818,253.3,2026-01-01,90.42,9.58,1,99.88,0.12,113.23,113.09,0.3097,2026-01,A,False,False,False,False,False,B
2026-01-01,A-02,480,458,22,예방보전,921,888,287.5,2026-01-01,95.42,4.58,33,96.42,3.58,120.66,116.33,0.3238,2026-01,A,False,False,False,False,False,B
2026-01-01,B-03,480,449,31,자재대기,780,751,299.1,2026-01-01,93.54,6.46,29,96.28,3.72,104.23,100.36,0.3983,2026-01,B,False,False,False,False,False,D
2026-01-02,C-02,480,426,54,설비고장,843,766,267.2,2026-01-02,88.75,11.25,77,90.87,9.13,118.73,107.89,0.3488,2026-01,C,False,True,False,False,True,D
2026-01-02,D-03,480,462,18,예방보전,843,818,306.1,2026-01-02,96.25,3.75,25,97.03,2.97,109.48,106.23,0.3742,2026-01,D,False,False,False,False,False,D
2026-01-02,D-02,480,480,0,정상가동,828,827,328.1,2026-01-02,100.0,0.0,1,99.88,0.12,103.5,103.38,0.3967,2026-01,D,False,False,False,False,False,D
2026-01-02,D-01,480,411,69,금형교체,743,712,265.4,2026-01-02,85.62,14.37,31,95.83,4.17,108.47,103.94,0.3728,2026-01,D,False,False,False,False,False,D
2026-01-02,C-01,480,427,53,금형교체,762,716,258.8,2026-01-02,88.96,11.04,46,93.96,6.04,107.07,100.61,0.3615,2026-01,C,False,False,False,False,False,D
2026-01-02,C-03,480,435,45,품질조정,831,789,243.4,2026-01-02,90.62,9.38,42,94.95,5.05,114.62,108.83,0.3085,2026-01,C,False,False,False,False,False,C
2026-01-02,B-02,480,459,21,설비고장,754,718,308.9,2026-01-02,95.62,4.38,36,95.23,4.77,98.56,93.86,0.4302,2026-01,B,False,False,True,False,True,D
2026-01-02,B-01,480,446,34,설비고장,731,705,288.6,2026-01-02,92.92,7.08,26,96.44,3.56,98.34,94.84,0.4094,2026-01,B,False,False,True,False,True,D
2026-01-02,A-03,480,446,34,예방보전,828,824,314.2,2026-01-02,92.92,7.08,4,99.52,0.48,111.39,110.85,0.3813,2026-01,A,False,False,False,False,False,D
2026-01-02,A-02,480,445,35,자재대기,866,830,251.2,2026-01-02,92.71,7.29,36,95.84,4.16,116.76,111.91,0.3027,2026-01,A,False,False,False,False,False,B
2026-01-02,A-01,480,450,30,품질조정,791,767,274.6,2026-01-02,93.75,6.25,24,96.97,3.03,105.47,102.27,0.358,2026-01,A,False,False,False,False,False,C
2026-01-02,B-03,480,423,57,품질조정,826,773,216.2,2026-01-02,88.12,11.88,53,93.58,6.42,117.16,109.65,0.2797,2026-01,B,False,False,False,False,False,C
2026-01-03,D-03,480,462,18,설비고장,751,720,262.4,2026-01-03,96.25,3.75,31,95.87,4.13,97.53,93.51,0.3644,2026-01,D,False,False,False,False,False,D
2026-01-03,D-02,480,409,71,예방보전,745,688,240.6,2026-01-03,85.21,14.79,57,92.35,7.65,109.29,100.93,0.3497,2026-01,D,False,False,False,False,False,C
2026-01-03,D-01,480,459,21,품질조정,868,850,282.1,2026-01-03,95.62,4.38,18,97.93,2.07,113.46,111.11,0.3319,2026-01,D,False,False,False,False,False,A
2026-01-03,C-03,480,392,88,자재대기,822,761,281.8,2026-01-03,81.67,18.33,61,92.58,7.42,125.82,116.48,0.3703,2026-01,C,False,False,False,False,False,D
2026-01-03,C-02,480,420,60,금형교체,835,797,225.6,2026-01-03,87.5,12.5,38,95.45,4.55,119.29,113.86,0.2831,2026-01,C,False,False,False,False,False,C
2026-01-03,C-01,480,398,82,금형교체,700,660,229.6,2026-01-03,82.92,17.08,40,94.29,5.71,105.53,99.5,0.3479,2026-01,C,False,False,False,False,False,D
2026-01-03,B-03,480,422,58,예방보전,720,691,280.5,2026-01-03,87.92,12.08,29,95.97,4.03,102.37,98.25,0.4059,2026-01,B,False,False,False,False,False,D
2026-01-03,B-01,480,413,67,품질조정,768,731,260.1,2026-01-03,86.04,13.96,37,95.18,4.82,111.57,106.2,0.3558,2026-01,B,False,False,False,False,False,C
2026-01-03,A-03,480,471,9,금형교체,814,780,300.6,2026-01-03,98.12,1.88,34,95.82,4.18,103.69,99.36,0.3854,2026-01,A,False,False,False,False,False,D
2026-01-03,A-02,480,480,0,정상가동,834,833,337.9,2026-01-03,100.0,0.0,1,99.88,0.12,104.25,104.12,0.4056,2026-01,A,False,False,False,False,False,D
2026-01-03,A-01,480,409,71,금형교체,703,662,250.2,2026-01-03,85.21,14.79,41,94.17,5.83,103.13,97.11,0.3779,2026-01,A,False,False,False,False,False,D
2026-01-03,B-02,480,396,84,품질조정,743,719,282.3,2026-01-03,82.5,17.5,24,96.77,3.23,112.58,108.94,0.3926,2026-01,B,False,False,False,False,False,D
2026-01-04,C-02,480,382,98,설비고장,674,644,250.0,2026-01-04,79.58,20.42,30,95.55,4.45,105.86,101.15,0.3882,2026-01,C,True,False,False,True,True,D
2026-01-04,D-03,480,470,10,설비고장,939,915,300.1,2026-01-04,97.92,2.08,24,97.44,2.56,119.87,116.81,0.328,2026-01,D,False,False,False,False,False,A
2026-01-04,D-02,480,429,51,설비고장,674,666,253.6,2026-01-04,89.38,10.62,8,98.81,1.19,94.27,93.15,0.3808,2026-01,D,False,False,False,False,False,D
2026-01-04,D-01,480,471,9,예방보전,811,788,285.9,2026-01-04,98.12,1.88,23,97.16,2.84,103.31,100.38,0.3628,2026-01,D,False,False,False,False,False,D
2026-01-04,C-01,480,364,116,예방보전,679,642,228.2,2026-01-04,75.83,24.17,37,94.55,5.45,111.92,105.82,0.3555,2026-01,C,True,False,False,True,True,D
